"","maxtempC","mintempC","sunHour","uvIndex","moon_illumination","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","AQI","AQI_Explained","date_time","moonrise","moonset","sunrise","sunset"
"1",15,5,8.7,4,0,-1,11,12,11,17,0,43,0,1021,15,10,242,12,319,"Hazardous",16071,372,304,412,303
"2",14,7,8.7,4,2,4,11,13,11,21,3,60,0,1019,14,10,141,14,352,"Hazardous",16072,430,372,413,304
"3",16,9,8.7,4,10,3,11,12,11,21,26,55,0,1017,16,10,295,14,338,"Hazardous",16073,482,442,413,305
"4",10,4,5.5,2,17,3,7,9,7,17,24,68,0.1,1022,10,10,169,14,355,"Hazardous",16074,529,509,413,305
"5",10,3,8.7,3,24,3,9,9,9,9,12,66,0,1024,10,10,117,6,343,"Hazardous",16075,572,575,413,306
"6",11,5,8.7,3,31,5,7,9,7,27,4,73,0,1024,11,10,120,19,287,"Very unhealthy",16076,611,637,413,307
"7",12,9,5.5,3,39,8,8,10,8,23,68,88,0.2,1019,12,9,200,15,177,"Unhealthy",16077,650,699,413,308
"8",9,4,4,2,46,5,4,8,4,33,83,82,0,1024,9,10,294,23,300,"Very unhealthy",16078,688,699,413,309
"9",5,2,8.7,2,53,-2,1,4,1,20,12,63,0,1033,5,10,158,16,253,"Very unhealthy",16079,725,757,414,309
"10",7,1,8.7,2,61,0,4,6,4,15,18,63,0,1033,7,10,93,11,223,"Very unhealthy",16080,765,94,414,310
"11",7,5,4,2,68,3,3,6,3,23,100,81,1.7,1031,7,6,81,15,300,"Very unhealthy",16081,87,149,414,311
"12",9,4,5.5,2,75,2,3,6,3,21,64,78,3,1031,9,9,96,14,305,"Hazardous",16082,131,203,413,312
"13",6,3,7.1,1,82,0,2,5,2,22,78,69,0,1032,6,10,26,16,325,"Hazardous",16083,178,254,413,313
"14",7,2,7.1,2,90,0,2,5,2,18,19,67,0.1,1032,7,10,13,14,247,"Very unhealthy",16084,228,302,413,314
"15",7,1,8.7,2,97,0,4,6,4,14,2,64,0,1034,7,10,161,11,153,"Unhealthy",16085,278,347,413,315
"16",10,2,8.7,3,100,3,6,7,6,13,16,73,0,1029,10,10,123,9,213,"Very unhealthy",16086,331,389,413,315
"17",11,4,8.7,2,89,3,8,9,8,9,30,71,0,1027,11,10,208,6,328,"Hazardous",16087,383,428,413,316
"18",8,3,8.7,3,81,1,4,7,4,20,3,69,0,1034,8,10,338,15,338,"Hazardous",16088,436,464,413,317
"19",9,1,8.7,3,74,3,7,9,7,15,1,69,0,1030,9,10,148,11,367,"Hazardous",16089,489,498,412,318
"20",11,3,8.7,2,67,-4,4,7,4,28,17,46,0,1028,11,10,271,19,345,"Hazardous",16090,542,532,412,319
"21",6,0,8.7,2,59,-8,1,5,1,19,0,42,0,1032,6,10,257,16,382,"Hazardous",16091,596,565,412,320
"22",5,-1,8.7,2,52,-6,5,6,5,8,0,42,0,1031,5,10,249,7,302,"Hazardous",16092,651,598,411,321
"23",10,2,8.7,3,45,1,4,7,4,24,0,63,0,1024,10,10,155,18,309,"Hazardous",16093,708,634,411,322
"24",15,5,8.7,3,38,4,8,10,8,35,24,66,0,1018,15,10,173,20,280,"Very unhealthy",16094,708,673,411,323
"25",16,8,8.7,3,30,5,9,11,9,33,26,66,0.1,1020,16,10,207,22,217,"Very unhealthy",16095,767,716,410,324
"26",9,5,5.6,2,23,0,4,7,4,24,59,61,0,1029,9,10,36,18,326,"Hazardous",16096,109,764,410,324
"27",12,4,8.7,3,16,3,7,9,7,20,17,68,0,1024,12,10,145,14,197,"Unhealthy",16097,170,99,409,325
"28",14,6,8.7,4,9,5,8,10,8,19,20,72,0,1024,14,10,84,13,162,"Unhealthy",16098,232,160,409,326
"29",12,7,5.6,3,1,8,9,10,9,18,70,88,1.1,1020,12,10,180,13,305,"Hazardous",16099,291,226,408,327
"30",17,8,8.7,4,0,10,13,14,13,13,16,81,0,1019,17,8,243,9,316,"Hazardous",16100,346,295,408,328
"31",17,8,8.7,4,0,9,11,13,11,35,19,82,0,1019,17,10,143,21,385,"Hazardous",16101,396,364,407,329
"32",24,13,8.7,5,6,12,17,18,17,30,18,73,0,1013,24,10,238,17,362,"Hazardous",16102,442,433,406,330
"33",17,11,8.7,4,14,11,15,15,15,13,15,78,0,1012,17,10,147,9,315,"Hazardous",16103,484,499,406,331
"34",10,4,4.1,2,21,4,4,8,4,32,83,78,0.1,1018,10,10,29,23,389,"Hazardous",16104,525,564,405,332
"35",6,3,8.7,2,29,-4,0,4,0,26,31,55,0,1027,6,10,36,20,303,"Hazardous",16105,565,625,405,332
"36",6,4,4.1,2,36,3,2,6,2,30,94,80,1.2,1023,6,9,88,20,150,"Unhealthy for sensitive groups",16106,604,685,404,333
"37",9,8,4.1,2,44,8,6,9,6,28,100,94,5.7,1018,9,7,54,19,125,"Unhealthy for sensitive groups",16107,644,685,403,334
"38",7,3,4.1,2,51,4,2,6,2,33,100,89,0.9,1018,7,8,145,23,138,"Unhealthy for sensitive groups",16108,686,742,402,335
"39",6,1,5.6,1,59,-1,-1,3,-1,26,65,76,0,1022,6,10,336,19,150,"Unhealthy for sensitive groups",16109,729,77,402,336
"40",3,0,4.1,1,66,-2,-3,2,-3,35,89,75,0.5,1026,3,8,219,25,301,"Hazardous",16110,776,129,401,337
"41",3,-1,8.7,1,74,-5,-5,0,-5,34,55,66,0.2,1029,3,9,337,25,305,"Hazardous",16111,104,179,400,338
"42",5,-2,7.2,1,81,-5,-4,1,-4,28,58,66,0,1027,5,10,333,21,217,"Very unhealthy",16112,154,225,399,338
"43",6,1,4.1,1,89,1,0,4,0,30,95,79,0.9,1027,6,7,147,21,270,"Very unhealthy",16113,206,267,398,339
"44",7,4,4.1,2,97,1,1,5,1,28,83,74,0.4,1029,7,9,139,20,207,"Very unhealthy",16114,258,308,397,340
"45",8,2,7.2,2,100,-1,2,5,2,23,45,67,0,1028,8,10,218,17,180,"Unhealthy",16115,311,345,397,341
"46",9,0,8.7,3,88,0,4,6,4,14,23,65,0,1027,9,10,64,10,273,"Very unhealthy",16116,364,380,396,342
"47",8,5,4.2,2,81,6,5,8,5,24,76,88,2.3,1023,8,10,107,16,180,"Unhealthy",16117,418,414,395,343
"48",9,6,4.2,2,73,7,5,8,5,30,90,93,0,1021,9,10,231,20,153,"Unhealthy",16118,472,448,394,343
"49",4,2,4.2,1,66,4,0,4,0,32,100,97,3.1,1024,4,9,182,20,217,"Very unhealthy",16119,527,481,393,344
"50",6,1,4.2,1,58,1,-1,3,-1,27,76,83,0.7,1027,6,8,315,19,188,"Unhealthy",16120,583,516,392,345
"51",9,1,7.2,2,51,1,4,6,4,17,15,72,0,1031,9,10,226,13,311,"Hazardous",16121,640,554,391,346
"52",9,2,8.7,3,43,1,5,7,5,15,11,67,0,1031,9,10,104,11,349,"Hazardous",16122,699,594,390,347
"53",10,4,7.2,2,36,3,4,7,4,22,44,75,0,1029,10,10,109,15,330,"Hazardous",16123,699,639,389,347
"54",12,5,8.7,3,28,5,7,9,7,18,13,77,0,1029,12,10,91,13,316,"Hazardous",16124,759,690,388,348
"55",11,6,4.2,2,20,7,7,9,7,23,87,85,2.5,1026,11,9,108,15,333,"Hazardous",16125,99,746,387,349
"56",10,9,4.2,2,13,9,7,10,7,32,100,97,4.5,1021,10,10,80,20,328,"Hazardous",16126,156,87,386,350
"57",11,8,4.2,2,5,9,8,10,8,20,91,94,0.2,1022,11,6,342,14,162,"Unhealthy",16127,211,152,385,350
"58",14,7,5.7,3,0,9,10,11,10,10,62,86,0.2,1024,14,7,180,7,290,"Very unhealthy",16128,262,220,384,351
"59",9,7,4.2,2,0,7,7,9,7,20,85,91,0,1021,9,10,72,14,335,"Hazardous",16129,310,288,382,352
"60",8,5,4.2,2,0,5,4,7,4,24,88,88,5.6,1021,8,9,147,17,330,"Hazardous",16130,354,356,381,353
"61",11,4,7.2,2,2,2,5,7,5,22,45,71,0,1024,11,10,151,16,193,"Unhealthy",16131,395,422,380,353
"62",12,6,8.7,3,9,4,7,9,7,26,36,69,0.3,1024,12,9,71,18,311,"Hazardous",16132,437,486,379,354
"63",11,7,4.3,2,16,8,8,9,8,16,84,91,1.2,1022,11,9,141,11,233,"Very unhealthy",16133,477,549,378,355
"64",10,4,8.7,3,24,2,5,7,5,24,18,71,0,1027,10,10,116,17,167,"Unhealthy",16134,518,609,377,355
"65",7,3,4.3,2,31,0,3,6,3,19,58,67,0.2,1029,7,10,61,14,257,"Very unhealthy",16135,561,667,376,356
"66",10,3,7.2,2,38,0,4,7,4,21,32,63,0,1030,10,10,74,15,143,"Unhealthy for sensitive groups",16136,605,667,375,357
"67",7,2,4.3,2,46,2,4,6,4,15,82,79,1.8,1026,7,9,120,10,163,"Unhealthy",16137,651,721,373,358
"68",13,2,8.7,3,53,5,9,10,9,10,4,73,0,1027,13,10,251,7,283,"Very unhealthy",16138,699,772,372,358
"69",13,2,5.8,3,60,6,8,10,8,15,28,78,0,1028,13,10,141,10,327,"Hazardous",16139,748,100,371,359
"70",14,7,11.6,4,67,7,8,11,8,35,10,78,0,1023,14,10,147,24,353,"Hazardous",16140,80,144,370,360
"71",15,7,6,3,75,11,10,12,10,28,89,94,7.2,1015,15,10,256,18,306,"Hazardous",16141,132,185,369,360
"72",11,3,11.6,3,82,1,4,7,4,27,24,64,0,1023,11,10,328,20,207,"Very unhealthy",16142,184,224,367,361
"73",14,3,11.6,4,89,2,8,10,8,21,9,56,0,1025,14,10,241,14,250,"Very unhealthy",16143,237,259,366,362
"74",18,6,11.6,4,96,5,12,13,12,23,10,60,0,1022,18,10,184,15,328,"Hazardous",16144,291,294,365,362
"75",19,9,11.6,5,100,10,15,16,15,25,7,73,0,1020,19,10,167,15,328,"Hazardous",16145,345,328,364,363
"76",24,13,11.6,4,89,14,18,19,18,19,41,77,0.7,1016,24,10,190,12,321,"Hazardous",16146,400,362,363,363
"77",24,10,11.6,5,82,15,19,20,19,13,0,75,0,1016,24,10,108,10,327,"Hazardous",16147,457,397,361,364
"78",13,8,7.5,3,74,9,9,11,9,24,81,87,0.9,1016,13,10,140,17,348,"Hazardous",16148,515,435,360,365
"79",13,6,11.8,3,67,2,6,9,6,28,46,62,0.1,1024,13,10,300,20,328,"Hazardous",16149,574,475,359,365
"80",14,3,12.5,4,60,1,9,10,9,17,3,53,0,1027,14,10,174,13,318,"Hazardous",16150,633,518,358,366
"81",15,5,12.5,4,53,4,10,12,10,23,5,60,0,1025,15,10,158,16,187,"Unhealthy",16151,693,567,356,367
"82",15,7,12.5,4,45,7,9,11,9,32,22,77,0,1026,15,10,141,21,290,"Very unhealthy",16152,693,620,355,367
"83",13,9,11.8,4,38,9,10,12,10,28,53,84,0,1022,13,10,176,19,210,"Very unhealthy",16153,749,679,354,368
"84",14,6,11.8,3,31,4,9,11,9,19,49,66,0,1025,14,10,180,13,237,"Very unhealthy",16154,84,740,353,369
"85",15,6,11.8,3,24,5,10,12,10,19,52,67,0.5,1024,15,10,162,13,315,"Hazardous",16155,134,85,352,369
"86",17,9,12.6,4,16,11,12,14,12,28,31,83,0.6,1018,17,10,132,19,333,"Hazardous",16156,181,150,350,370
"87",18,12,9.2,4,9,14,15,15,15,32,74,90,1.5,1011,18,8,149,20,277,"Very unhealthy",16157,226,216,349,371
"88",20,14,9.2,4,2,16,17,17,17,18,72,93,2.6,1008,20,6,206,12,267,"Very unhealthy",16158,267,281,348,371
"89",20,10,12.7,5,0,10,14,15,14,19,20,76,0,1016,20,10,187,13,338,"Hazardous",16159,308,346,347,372
"90",15,10,12.7,3,0,7,12,13,12,17,41,70,0,1016,15,10,97,12,318,"Hazardous",16160,349,409,345,372
"91",17,11,11.9,3,5,10,14,14,14,11,50,77,0,1016,17,10,90,8,305,"Hazardous",16161,389,471,344,373
"92",18,10,10.6,4,13,11,14,14,14,15,55,81,0.2,1016,18,10,86,11,304,"Hazardous",16162,432,531,343,374
"93",19,9,12.7,4,21,10,13,14,13,17,44,77,0.6,1017,19,9,40,12,308,"Hazardous",16163,476,589,342,374
"94",19,6,12.7,4,28,5,14,15,14,14,2,54,0,1019,19,10,222,10,293,"Very unhealthy",16164,522,642,341,375
"95",20,7,12.8,4,36,5,12,13,12,21,10,58,0,1020,20,10,141,15,308,"Hazardous",16165,571,693,339,376
"96",15,4,12.8,3,43,2,9,11,9,19,42,56,0,1025,15,10,97,14,133,"Unhealthy for sensitive groups",16166,620,693,338,376
"97",17,10,12.8,4,51,9,12,13,12,24,49,77,0.9,1019,17,10,155,17,237,"Very unhealthy",16167,672,739,337,377
"98",20,12,12.8,4,58,13,15,15,15,11,57,86,0.1,1017,20,8,92,7,319,"Hazardous",16168,723,61,336,378
"99",20,11,12.8,4,66,13,16,16,16,13,34,86,0,1017,20,7,124,10,326,"Hazardous",16169,776,101,334,378
"100",22,11,12.9,4,73,12,17,18,17,20,23,73,0,1018,22,9,129,13,318,"Hazardous",16170,109,137,333,379
"101",19,12,12.9,4,81,11,14,15,14,26,53,79,0,1015,19,10,126,17,312,"Hazardous",16171,161,172,332,379
"102",19,14,9.3,4,89,15,16,16,16,23,84,93,3.3,1011,19,9,222,15,300,"Very unhealthy",16172,216,207,331,380
"103",15,10,9.4,3,96,12,13,14,13,20,71,90,0.2,1017,15,9,221,14,287,"Very unhealthy",16173,270,241,330,381
"104",20,9,12.9,5,100,13,17,18,17,12,1,77,0,1021,20,9,69,9,325,"Hazardous",16174,327,275,329,381
"105",19,10,13,5,89,10,15,15,15,27,9,71,0,1019,19,10,126,20,297,"Very unhealthy",16175,385,312,327,382
"106",18,14,8.1,4,81,14,15,16,15,20,84,89,0.9,1012,18,10,201,13,263,"Very unhealthy",16176,445,352,326,383
"107",24,13,10.7,5,74,16,19,20,19,11,55,83,0.6,1010,24,10,206,7,354,"Hazardous",16177,506,395,325,383
"108",18,12,10.7,4,66,13,15,15,15,15,75,86,0,1016,18,7,40,11,315,"Hazardous",16178,567,444,324,384
"109",15,12,8.1,3,59,13,13,14,13,21,91,94,0,1015,15,8,77,14,170,"Unhealthy",16179,625,496,323,385
"110",17,11,9.4,4,51,12,14,14,14,15,75,86,0.1,1017,17,8,43,11,257,"Very unhealthy",16180,681,554,322,385
"111",16,10,8.2,3,44,11,13,13,13,15,85,85,1.7,1017,16,8,72,11,302,"Hazardous",16181,681,614,321,386
"112",20,10,12,4,36,11,14,15,14,14,54,80,0.6,1018,20,9,147,10,310,"Hazardous",16182,732,678,320,387
"113",19,8,13.1,5,28,8,15,15,15,16,25,65,0,1018,19,10,123,11,314,"Hazardous",16183,779,741,319,387
"114",20,12,10.7,4,21,13,16,17,16,26,52,82,0.4,1017,20,9,123,18,309,"Hazardous",16184,103,85,318,388
"115",20,15,13.1,4,13,14,17,17,17,34,50,83,0,1018,20,10,125,23,197,"Unhealthy",16185,144,148,317,389
"116",17,16,8.2,4,6,16,16,16,16,32,99,97,1,1016,17,9,135,20,175,"Unhealthy",16186,184,212,316,389
"117",20,15,9.5,4,0,16,17,17,17,24,77,90,0.3,1014,20,7,272,16,301,"Hazardous",16187,224,274,315,390
"118",18,13,10.7,4,0,13,15,16,15,29,49,84,0,1016,18,8,310,20,310,"Hazardous",16188,263,336,314,391
"119",23,12,13.2,5,0,12,18,19,18,17,11,72,0.1,1015,23,10,244,13,325,"Hazardous",16189,305,396,313,391
"120",23,9,13.2,5,1,12,18,18,18,15,6,71,0,1014,23,8,173,9,323,"Hazardous",16190,348,455,312,392
"121",26,14,13.2,6,9,14,22,22,21,18,8,67,0,1014,26,10,177,12,336,"Hazardous",16191,393,510,311,393
"122",30,16,13.2,6,16,14,24,24,23,20,13,57,0,1017,30,10,198,14,332,"Hazardous",16192,441,563,310,393
"123",18,14,13.3,4,23,10,16,16,16,21,45,66,0.2,1021,18,9,93,15,263,"Very unhealthy",16193,491,611,309,394
"124",19,13,10.8,4,31,13,16,16,16,17,67,81,4.4,1017,19,9,210,11,305,"Hazardous",16194,542,656,308,395
"125",19,11,13.3,4,38,4,15,15,15,19,38,49,0,1022,19,10,74,13,220,"Very unhealthy",16195,594,697,307,395
"126",20,10,13.3,5,45,6,16,16,16,23,6,52,0,1020,20,10,144,16,250,"Very unhealthy",16196,646,697,306,396
"127",24,14,10.8,5,52,13,19,20,19,24,41,69,0,1012,24,10,169,17,297,"Very unhealthy",16197,699,735,305,397
"128",25,15,12,5,60,14,21,22,21,18,36,65,0,1014,25,10,156,13,327,"Hazardous",16198,751,770,305,398
"129",20,14,13.3,5,67,11,17,17,17,23,48,68,0.1,1015,20,10,113,17,308,"Hazardous",16199,85,85,304,398
"130",19,16,8.4,4,74,17,18,18,18,36,98,92,0.6,1012,19,9,121,23,302,"Hazardous",16200,138,118,303,399
"131",23,17,8.4,5,81,18,20,20,20,29,85,88,2,1007,23,9,223,19,237,"Very unhealthy",16201,194,152,302,400
"132",25,15,12,5,89,13,21,21,21,15,36,63,0,1012,25,10,219,10,335,"Hazardous",16202,251,188,301,400
"133",23,16,13.3,5,96,13,20,20,20,25,50,68,4.4,1008,23,10,150,18,319,"Hazardous",16203,311,226,301,401
"134",28,18,12.1,5,100,19,23,23,22,13,76,83,2.8,1002,28,8,248,9,321,"Hazardous",16204,372,268,300,402
"135",26,16,13.8,6,89,14,22,22,21,15,30,64,0,1007,26,10,173,10,322,"Hazardous",16205,435,315,299,402
"136",25,16,13.8,6,82,13,22,22,21,18,17,61,0,1010,25,10,137,12,315,"Hazardous",16206,495,367,299,403
"137",21,17,8.7,4,75,16,19,19,19,18,98,86,1.1,1011,21,7,116,13,312,"Hazardous",16207,554,425,298,404
"138",19,16,8.7,4,68,15,18,18,18,15,91,84,0.5,1012,19,7,60,12,213,"Very unhealthy",16208,608,486,298,404
"139",23,16,8.7,5,60,17,20,21,20,9,77,83,0.3,1010,23,10,116,7,304,"Hazardous",16209,658,550,297,405
"140",25,18,12.2,5,53,18,22,22,22,16,48,79,0.3,1008,25,8,234,12,325,"Hazardous",16210,704,614,296,406
"141",27,17,13.9,6,46,17,24,24,23,18,15,72,0,1009,27,10,146,13,333,"Hazardous",16211,704,679,296,406
"142",26,18,13.9,6,39,16,23,23,22,24,8,72,0,1012,26,10,155,18,316,"Hazardous",16212,745,742,295,407
"143",25,18,13.9,6,31,17,23,23,22,27,2,77,0,1016,25,10,134,21,180,"Unhealthy",16213,65,84,295,408
"144",25,18,11,5,24,19,24,24,22,31,49,83,0,1013,25,10,147,22,177,"Unhealthy",16214,104,145,294,408
"145",29,21,9.9,6,17,22,28,28,25,15,80,84,1.5,1008,29,10,223,11,310,"Hazardous",16215,142,206,294,409
"146",30,21,13.3,6,9,19,28,28,26,14,33,69,0,1009,30,8,186,10,342,"Hazardous",16216,182,265,293,409
"147",32,21,14,7,2,15,28,28,27,20,15,50,0,1005,32,10,228,13,352,"Hazardous",16217,223,324,293,410
"148",35,22,14,7,0,15,30,30,29,18,19,46,0,1006,35,10,217,11,338,"Hazardous",16218,267,380,293,411
"149",32,22,14,7,0,16,28,28,27,19,16,52,0,1007,32,10,155,12,315,"Hazardous",16219,314,435,292,411
"150",31,22,13.4,6,5,16,28,28,27,22,29,52,0,1009,31,10,169,15,329,"Hazardous",16220,362,485,292,412
"151",26,20,14,6,9,18,24,24,23,28,31,77,0,1011,26,10,142,21,305,"Hazardous",16221,413,531,292,412
"152",25,20,8.8,5,20,20,24,24,23,35,85,87,8.2,1005,25,9,152,26,173,"Unhealthy",16222,465,574,291,413
"153",27,20,14,6,28,19,25,25,23,28,40,78,0,1003,27,10,281,20,293,"Very unhealthy",16223,517,613,291,413
"154",23,17,9.9,5,35,16,22,22,21,21,61,74,0.3,1005,23,10,299,15,303,"Hazardous",16224,570,649,291,414
"155",25,18,11.1,5,43,17,23,23,22,19,55,72,0,1005,25,10,244,13,324,"Hazardous",16225,622,684,291,415
"156",27,18,13.4,5,50,18,24,24,23,13,46,78,0.1,1006,27,9,105,10,300,"Very unhealthy",16226,675,717,291,415
"157",28,19,14.1,6,58,19,25,25,24,13,20,74,0,1005,28,10,117,10,304,"Hazardous",16227,728,717,291,416
"158",30,20,14.1,7,65,21,27,27,25,14,20,78,0,1004,30,10,122,10,312,"Hazardous",16228,62,750,290,416
"159",27,21,14.1,6,73,19,26,26,24,15,21,77,0,1006,27,10,115,12,287,"Very unhealthy",16229,117,64,290,416
"160",26,20,14.1,6,81,19,24,24,23,20,28,80,0,1006,26,10,109,16,207,"Very unhealthy",16230,175,101,290,417
"161",28,20,13.4,5,88,19,26,26,24,16,27,76,0,1007,28,10,73,13,180,"Unhealthy",16231,235,140,290,417
"162",28,20,13.4,5,96,19,25,25,24,13,43,75,0.3,1007,28,8,69,10,183,"Unhealthy",16232,297,184,290,418
"163",29,19,13.4,7,100,18,25,25,24,10,38,69,0.3,1006,29,10,95,8,308,"Hazardous",16233,359,234,290,418
"164",31,19,14.1,7,89,18,28,28,27,12,21,61,0,1008,31,10,187,9,331,"Hazardous",16234,420,289,290,419
"165",34,22,14.1,7,82,18,29,29,28,13,20,55,0,1008,34,10,162,9,336,"Hazardous",16235,478,350,290,419
"166",29,23,12.2,6,74,18,27,27,26,17,53,65,0,1007,29,10,121,13,308,"Hazardous",16236,532,415,290,419
"167",26,22,9.1,5,67,21,26,26,24,25,92,86,0,1003,26,10,116,19,150,"Unhealthy for sensitive groups",16237,581,482,290,420
"168",26,21,9.1,5,59,22,27,27,24,12,87,86,0.1,1002,26,8,220,9,293,"Very unhealthy",16238,624,549,290,420
"169",26,20,12.3,5,52,19,25,25,23,12,51,79,0.1,1006,26,10,76,9,180,"Unhealthy",16239,666,614,291,420
"170",27,21,14.5,7,44,20,26,26,24,20,35,79,0,1005,27,10,126,16,250,"Very unhealthy",16240,705,678,291,421
"171",27,22,9.1,6,36,23,27,27,25,14,93,90,3.5,1003,27,7,133,10,193,"Unhealthy",16241,705,740,291,421
"172",23,22,10.2,5,29,22,25,25,23,17,93,95,10,1004,23,7,39,11,213,"Very unhealthy",16242,744,81,291,421
"173",24,21,13.4,5,21,20,25,25,23,11,51,86,0.4,1008,24,8,85,8,138,"Unhealthy for sensitive groups",16243,63,140,291,421
"174",23,20,12.3,5,14,20,24,24,22,11,51,86,0,1008,23,9,135,8,210,"Very unhealthy",16244,103,198,292,421
"175",28,20,14.5,7,6,21,26,26,24,14,20,80,0,1007,28,9,165,10,297,"Very unhealthy",16245,145,254,292,422
"176",24,21,9.1,5,0,20,25,25,22,16,89,89,0,1007,24,10,127,11,162,"Unhealthy",16246,190,309,292,422
"177",25,21,9.1,5,0,22,25,25,23,11,100,94,0.5,1005,25,5,73,8,150,"Unhealthy for sensitive groups",16247,238,360,292,422
"178",24,20,10.1,5,0,21,25,25,23,10,82,92,2.7,1006,24,7,48,7,188,"Unhealthy",16248,287,407,293,422
"179",29,19,13.4,6,1,21,26,26,24,10,44,81,0,1007,29,8,204,7,316,"Hazardous",16249,339,452,293,422
"180",30,21,13.4,6,9,20,28,28,26,12,46,73,0,1008,30,10,181,9,333,"Hazardous",16250,390,492,293,422
"181",24,20,13.4,5,16,19,25,25,23,14,54,81,0.2,1010,24,10,169,10,314,"Hazardous",16251,443,529,294,422
"182",26,21,10.1,5,23,21,26,26,23,15,94,89,1,1010,26,10,123,11,260,"Very unhealthy",16252,495,565,294,422
"183",29,23,10.1,6,30,23,29,29,25,16,79,87,0.4,1003,29,8,235,11,287,"Very unhealthy",16253,548,598,295,422
"184",30,21,14.5,7,37,22,28,28,26,14,24,79,0,1004,30,9,235,10,322,"Hazardous",16254,600,630,295,422
"185",28,21,11.2,5,45,21,26,26,24,21,62,83,0.4,1007,28,10,101,15,247,"Very unhealthy",16255,652,664,295,422
"186",27,22,12.3,6,52,24,29,29,25,26,65,93,3.6,1004,27,9,165,16,188,"Unhealthy",16256,706,698,296,422
"187",28,21,13.4,6,59,22,28,28,25,19,52,84,9.6,1005,28,9,291,13,305,"Hazardous",16257,761,698,296,422
"188",29,21,13.4,6,66,22,28,28,25,12,40,85,0,1005,29,7,176,8,267,"Very unhealthy",16258,99,735,297,422
"189",29,22,11.2,6,74,23,29,29,26,19,49,86,0.1,1002,29,7,48,14,138,"Unhealthy for sensitive groups",16259,158,776,297,421
"190",31,24,12.3,6,81,23,31,31,27,26,48,81,0.3,1000,31,9,342,19,188,"Unhealthy",16260,220,102,298,421
"191",33,23,13.4,7,88,25,35,35,29,9,27,77,0,1003,33,8,222,6,315,"Hazardous",16261,281,153,298,421
"192",31,24,14.4,6,96,25,35,35,29,12,29,83,6.8,1003,31,9,179,8,337,"Hazardous",16262,342,211,299,421
"193",34,26,13.4,7,100,26,37,37,29,8,46,84,4.6,1003,34,9,187,5,313,"Hazardous",16263,398,274,299,420
"194",25,22,8.8,5,90,23,27,27,24,13,94,94,3.3,1006,25,7,232,10,223,"Very unhealthy",16264,451,342,300,420
"195",29,21,14,6,83,23,29,29,26,10,49,88,0.2,1008,29,6,157,7,315,"Hazardous",16265,498,410,300,420
"196",24,22,8.5,5,75,23,27,27,24,10,94,96,18.6,1009,24,4,107,6,183,"Unhealthy",16266,543,479,301,419
"197",30,23,13.3,6,68,25,32,32,27,10,60,90,0,1009,30,7,136,7,301,"Hazardous",16267,584,545,302,419
"198",31,24,13.3,6,61,25,32,32,27,19,43,90,0,1009,31,9,156,13,112,"Unhealthy for sensitive groups",16268,624,610,302,419
"199",31,25,13.3,6,54,25,33,33,27,23,58,89,0,1010,31,9,147,15,125,"Unhealthy for sensitive groups",16269,664,673,303,418
"200",30,25,13.6,6,46,26,33,33,28,19,40,89,0.4,1010,30,9,148,13,125,"Unhealthy for sensitive groups",16270,704,734,303,418
"201",33,25,13.5,6,39,26,36,36,29,17,12,85,0,1009,33,8,137,12,125,"Unhealthy for sensitive groups",16271,704,73,304,417
"202",32,25,13.5,7,32,26,35,35,29,20,32,87,0,1007,32,8,141,14,138,"Unhealthy for sensitive groups",16272,745,130,305,417
"203",32,25,13.5,7,24,26,35,35,29,23,9,84,0,1005,32,10,146,16,125,"Unhealthy for sensitive groups",16273,70,185,305,416
"204",31,27,12.1,6,17,26,36,36,29,24,41,86,0,1004,31,9,131,17,112,"Unhealthy for sensitive groups",16274,116,236,306,416
"205",31,26,12.1,6,10,26,34,34,28,36,56,86,0,1000,31,10,132,25,150,"Unhealthy for sensitive groups",16275,164,285,306,415
"206",29,26,10.9,6,3,25,32,32,27,29,73,88,1.3,1002,29,9,186,17,175,"Unhealthy",16276,215,330,307,415
"207",31,25,13.5,6,0,26,34,34,28,14,32,87,1.5,1010,31,7,54,10,331,"Hazardous",16277,266,371,308,414
"208",31,24,13.5,6,0,26,33,33,28,11,54,89,7.9,1009,31,7,156,8,290,"Very unhealthy",16278,318,410,308,413
"209",31,23,13.4,6,4,25,33,33,28,10,39,87,5.1,1007,31,7,150,7,240,"Very unhealthy",16279,370,446,309,413
"210",32,25,13.4,7,12,26,35,35,29,17,11,82,0,1007,32,10,140,12,210,"Very unhealthy",16280,423,480,309,412
"211",32,26,13.4,6,19,26,35,35,29,21,12,85,0,1006,32,8,130,15,150,"Unhealthy for sensitive groups",16281,475,513,310,411
"212",31,26,13.4,7,23,25,34,34,28,21,50,84,0.3,1004,31,9,70,15,125,"Unhealthy for sensitive groups",16282,527,546,311,411
"213",27,24,8.4,6,33,24,29,29,25,35,94,94,12.8,998,27,9,147,22,125,"Unhealthy for sensitive groups",16283,580,579,311,410
"214",28,23,10.8,6,41,24,29,29,25,35,80,93,1.9,996,28,10,295,22,162,"Unhealthy",16284,633,614,312,409
"215",33,24,13.4,6,48,25,35,35,29,20,24,83,4.4,1001,33,9,245,13,306,"Hazardous",16285,689,652,313,408
